,date,time,id,rain24,water_level,water_color,water_temp,dox,pressure,conductivity,ph,no3n,po4p,pres,col_count
0,7/18/2023,8:38 AM,CC-1.1,0.0,,,24.8,6.78,760.8,464.0,7.11,1.0,0.22,,
1,7/18/2023,8:39 AM,CC-1.2,0.0,,,24.7,6.61,760.8,467.0,7.09,1.0,0.31,,
2,7/18/2023,8:40 AM,CC-1.3,0.0,,,24.7,6.57,760.8,467.0,7.07,1.0,0.19,,
3,7/19/2023,8:14 AM,CC-1.1,1.0,,,24.0,4.59,761.8,490.0,6.72,1.2,0.81,,
4,7/19/2023,8:15 AM,CC-1.2,1.0,,,24.1,4.56,761.8,487.0,6.9,1.2,0.57,,
5,7/19/2023,8:16 AM,CC-1.3,1.0,,,24.1,4.55,761.8,491.0,6.95,1.1,0.5,,
6,7/20/2023,8:25 AM,CC-1.1,1.0,,,23.2,5.82,762.0,410.0,6.81,1.1,0.22,,
7,7/20/2023,8:26 AM,CC-1.2,1.0,,,23.3,5.83,762.0,396.0,6.89,1.0,0.24,,
8,7/20/2023,8:27 AM,CC-1.3,1.0,,,23.3,5.78,762.0,401.0,6.92,1.0,0.17,,
9,7/25/2023,7:56 AM,CC-1.1,0.0,,,22.9,6.87,764.0,660.0,6.95,1.5,0.3,,
10,7/25/2023,7:57,CC-1.2,0.0,,,22.9,6.92,764.0,661.0,7.02,1.6,0.15,,
11,7/25/2023,7:58 AM,CC-1.3,0.0,,,22.9,6.91,764.0,661.0,7.16,1.4,0.17,,
12,7/26/2023,8:03 AM,CC-1.1,1.0,,,21.8,7.13,765.2,222.0,6.67,0.7,0.32,,
13,7/26/2023,8:04 AM,CC-1.2,1.0,,,21.8,7.13,765.2,223.0,6.71,0.5,0.23,,
14,7/26/2023,8:05 AM,CC-1.3,1.0,,,21.7,7.08,765.2,223.0,6.8,0.8,0.23,,
15,7/27/2023,7:49 AM,CC-1.1,1.0,,,23.8,6.56,761.5,440.0,6.82,0.9,0.25,Present,933
16,7/27/2023,7:50,CC-1.2,1.0,,,23.9,6.6,761.5,442.0,6.9,0.9,0.26,Present,967
17,7/27/2023,7:51 AM,CC-1.3,1.0,,,23.9,6.56,761.5,442.0,6.95,1.0,0.4,Present,1233
18,8/1/2023,8:02 AM,CC-1.1,0.0,,,22.1,6.75,765.2,571.0,6.95,1.1,0.35,,
19,8/1/2023,8:03 AM,CC-1.2,0.0,,,21.9,6.78,765.2,573.0,7.02,0.9,0.41,,
20,8/1/2023,8:04 AM,CC-1.3,0.0,,,21.9,6.77,765.2,573.0,7.08,1.2,0.17,,
21,8/2/2023,8:02 AM,CC-1.1,0.0,,,21.3,7.23,767.9,614.0,7.05,1.1,0.48,,
22,8/2/2023,8:03 AM,CC-1.2,0.0,,,21.2,7.29,767.9,618.0,7.21,1.2,0.45,,
23,8/2/2023,8:04 AM,CC-1.3,0.0,,,21.1,7.26,767.9,617.0,7.29,1.1,0.22,,
24,8/3/2023,8:08 AM,CC-1.1,0.0,,,21.3,7.43,765.6,667.0,7.04,1.2,1.33,Present,200
