Date,Time,Sample ID,Rain in Last 24HR,Water Level,Water Color,Water Temp (C),DO (mg/L),Pressure (mmHg),Conductivity (uS/cm),pH,NO3-N (mg/L),PO4-P (mg/L),Presence/Absence,RiverWays Colony Count Average (colonies/100mL)
7/18/2023,8:38 AM,CC-1.1,no,-,-,24.8,6.78,760.8,464,7.11,1,0.22,no data,-
7/18/2023,8:39 AM,CC-1.2,no,-,-,24.7,6.61,760.8,467,7.09,1,0.31,no data,-
7/18/2023,8:40 AM,CC-1.3,no,-,-,24.7,6.57,760.8,467,7.07,1,0.19,no data,-
7/19/2023,8:14 AM,CC-1.1,yes,-,-,24,4.59,761.8,490,6.72,1.2,0.81,no data,-
7/19/2023,8:15 AM,CC-1.2,yes,-,-,24.1,4.56,761.8,487,6.9,1.2,0.57,no data,-
7/19/2023,8:16 AM,CC-1.3,yes,-,-,24.1,4.55,761.8,491,6.95,1.1,0.5,no data,-
7/20/2023,8:25 AM,CC-1.1,yes,-,-,23.2,5.82,762,410,6.81,1.1,0.22,no data,-
7/20/2023,8:26 AM,CC-1.2,yes,-,-,23.3,5.83,762,396,6.89,1,0.24,no data,-
7/20/2023,8:27 AM,CC-1.3,yes,-,-,23.3,5.78,762,401,6.92,1,0.17,no data,-
7/25/2023,7:56 AM,CC-1.1,no,-,-,22.9,6.87,764,660,6.95,1.5,0.3,no data,-
7/25/2023,7:57,CC-1.2,no,-,-,22.9,6.92,764,661,7.02,1.6,0.15,no data,-
7/25/2023,7:58 AM,CC-1.3,no,-,-,22.9,6.91,764,661,7.16,1.4,0.17,no data,-
7/26/2023,8:03 AM,CC-1.1,yes,-,-,21.8,7.13,765.2,222,6.67,0.7,0.32,no data,-
7/26/2023,8:04 AM,CC-1.2,yes,-,-,21.8,7.13,765.2,223,6.71,0.5,0.23,no data,-
7/26/2023,8:05 AM,CC-1.3,yes,-,-,21.7,7.08,765.2,223,6.8,0.8,0.23,no data,-
7/27/2023,7:49 AM,CC-1.1,yes,-,-,23.8,6.56,761.5,440,6.82,0.9,0.25,Present,933
7/27/2023,7:50,CC-1.2,yes,-,-,23.9,6.6,761.5,442,6.9,0.9,0.26,Present,967
7/27/2023,7:51 AM,CC-1.3,yes,-,-,23.9,6.56,761.5,442,6.95,1,0.4,Present,1233
8/1/2023,8:02 AM,CC-1.1,no,-,-,22.1,6.75,765.2,571,6.95,1.1,0.35,no data,-
8/1/2023,8:03 AM,CC-1.2,no,-,-,21.9,6.78,765.2,573,7.02,0.9,0.41,no data,-
8/1/2023,8:04 AM,CC-1.3,no,-,-,21.9,6.77,765.2,573,7.08,1.2,0.17,no data,-
8/2/2023,8:02 AM,CC-1.1,no,-,-,21.3,7.23,767.9,614,7.05,1.1,0.48,no data,-
8/2/2023,8:03 AM,CC-1.2,no,-,-,21.2,7.29,767.9,618,7.21,1.2,0.45,no data,-
8/2/2023,8:04 AM,CC-1.3,no,-,-,21.1,7.26,767.9,617,7.29,1.1,0.22,no data,-
